name,category,diet_type,calories,protein,carbs,fat,sugar,unit_name,serving_desc,fiber,sodium,calcium,phosphorus,potassium
Steamed Idli,Breakfast,Veg,60,2,12,0.4,0.2,piece,1 idli,1,120,10,40,35
Plain Dosa,Breakfast,Veg,120,3,22,3,0.5,piece,1 dosa,1,200,20,70,80
Ragi Dosa,Breakfast,Veg,110,3.5,20,2,0.4,piece,1 dosa,2,180,80,90,120
Oats Dosa,Breakfast,Veg,115,4,18,2.5,0.5,piece,1 dosa,2.5,190,40,80,110
Mixed Veg Dosa,Breakfast,Veg,140,4,22,3,1,piece,1 dosa,3,210,50,100,150
Plain Idiyappam,Breakfast,Veg,100,2,22,0.5,0.3,plate,3 pieces,1,100,15,40,30
Ragi Idiyappam,Breakfast,Veg,105,3,21,0.6,0.4,plate,3 pieces,2,110,70,60,90
Veg Idiyappam,Breakfast,Veg,130,4,23,2,1,plate,3 pieces,3,180,40,80,140
Steamed Puttu,Breakfast,Veg,180,4,36,3,2,piece,1 cylinder,4,150,40,110,150
Ragi Puttu,Breakfast,Veg,170,5,34,2,2,piece,1 cylinder,5,150,120,120,200
Veg Upma,Breakfast,Veg,220,6,32,8,2,bowl,1 bowl,3,320,50,130,170
Oats Upma,Breakfast,Veg,200,7,28,6,2,bowl,1 bowl,4,300,60,120,180
Rava Upma,Breakfast,Veg,230,6,35,8,2,bowl,1 bowl,2,340,40,110,160
Veg Pongal,Breakfast,Veg,250,8,38,9,2,bowl,1 bowl,4,360,50,150,200
Millet Pongal,Breakfast,Veg,240,8,36,8,2,bowl,1 bowl,5,330,60,160,220
Moong Dal Khichdi,Lunch,Veg,210,9,32,6,1,bowl,1 bowl,4,300,60,170,250
Veg Khichdi,Lunch,Veg,220,7,35,6,2,bowl,1 bowl,4,310,70,180,260
Ragi Mudde,Lunch,Veg,190,6,40,1,1,ball,1 mudde,4,100,150,180,300
Kambu Koozh,Lunch,Veg,180,5,34,2,2,bowl,1 bowl,4,140,120,160,250
Samai Rice,Lunch,Veg,200,5,40,2,1,cup,1 cup cooked,4,10,20,120,150
Varagu Rice,Lunch,Veg,210,6,39,2,1,cup,1 cup cooked,4,15,25,130,170
Thinai Rice,Lunch,Veg,220,6,41,2,1,cup,1 cup cooked,5,20,30,140,180
Red Rice,Lunch,Veg,215,5,44,1,1,cup,1 cup cooked,3,5,20,150,170
Brown Rice,Lunch,Veg,216,5,45,1.8,1,cup,1 cup cooked,3.5,10,20,150,170
Handpounded Rice,Lunch,Veg,210,5,43,1.5,1,cup,1 cup cooked,3,8,18,140,160
Plain Rice,lunch,Veg,205,4.2,45,0.4,0,cup,1 cup cooked,0.6,2,16,68,55
Lemon Rice,lunch,Veg,250,5,42,7,2,bowl,1 bowl,2,420,25,90,120
Tamarind Rice,lunch,Veg,260,5,44,7,3,bowl,1 bowl,3,450,30,100,130
Low Fat Curd Rice,lunch,Veg,220,6,35,5,3,bowl,1 bowl,1,280,120,110,150
Mixed Veg Rice,lunch,Veg,240,6,40,6,3,bowl,1 bowl,3,320,60,120,210
Light Coconut Rice,lunch,Veg,255,5,41,8,2,bowl,1 bowl,2,300,40,95,160
Toor Dal Sambar,lunch,Veg,120,6,15,4,3,bowl,1 bowl,4,350,70,110,240
Rasam,snack,Veg,40,1,6,1,2,cup,1 cup,1,300,30,60,120
Mixed Veg Soup,snack,Veg,60,2,10,1,3,cup,1 cup,2,250,40,80,200
Tomato Rasam,snack,Veg,45,1,7,1,3,cup,1 cup,1,280,35,70,150
Spinach Soup,snack,Veg,50,3,8,1,2,cup,1 cup,2,200,90,90,300
Pumpkin Soup,snack,Veg,55,2,11,1,4,cup,1 cup,2,210,40,70,220
Carrot Soup,snack,Veg,50,1,10,1,4,cup,1 cup,2,200,35,60,200
Beetroot Soup,snack,Veg,60,2,12,1,5,cup,1 cup,2,210,30,70,250
Mixed Veg Stew,dinner,Veg,140,4,18,5,3,bowl,1 bowl,3,300,70,120,260
Avial,lunch,Veg,160,4,16,8,3,bowl,1 bowl,4,280,80,130,300
Moong Dal Kootu,lunch,Veg,150,8,18,4,2,bowl,1 bowl,4,320,90,160,350
Poricha Kuzhambu,lunch,Veg,170,6,20,7,3,bowl,1 bowl,3,340,70,140,280
Buttermilk Kuzhambu,lunch,Veg,140,5,14,6,3,bowl,1 bowl,2,300,110,120,200
Veg Kurma,dinner,Veg,180,5,16,10,4,bowl,1 bowl,3,350,80,140,260
Cabbage Poriyal,lunch,Veg,90,3,10,4,3,bowl,1 bowl,3,200,60,70,180
Beans Poriyal,lunch,Veg,95,3,12,4,3,bowl,1 bowl,4,210,55,80,190
Carrot Poriyal,lunch,Veg,100,2,14,4,4,bowl,1 bowl,3,220,50,70,200
Cabbage Thoran,lunch,Veg,105,3,12,5,3,bowl,1 bowl,3,230,60,80,210
Beetroot Poriyal,lunch,Veg,110,3,16,4,5,bowl,1 bowl,3,220,45,80,260
Spinach Poriyal,lunch,Veg,95,3,11,4,2,bowl,1 bowl,3,210,120,85,300
Snake Gourd Poriyal,lunch,Veg,85,2,10,3,2,bowl,1 bowl,2,200,60,70,180
Bottle Gourd Poriyal,lunch,Veg,80,2,9,3,2,bowl,1 bowl,2,190,55,60,170
Chayote Poriyal,lunch,Veg,85,2,10,3,2,bowl,1 bowl,2,200,50,65,180
Drumstick Poriyal,lunch,Veg,110,4,13,4,3,bowl,1 bowl,4,210,90,100,280
Pumpkin Poriyal,lunch,Veg,100,2,15,3,5,bowl,1 bowl,3,200,50,70,220
Coconut Veg Thoran,lunch,Veg,120,3,12,6,3,bowl,1 bowl,3,230,70,90,210
Keerai Masiyal,lunch,Veg,90,3,10,3,2,bowl,1 bowl,3,210,130,90,310
Drumstick Leaves,lunch,Veg,95,4,11,3,2,bowl,1 bowl,4,200,160,100,320
Spinach Masiyal,lunch,Veg,90,3,10,3,2,bowl,1 bowl,3,210,140,90,300
Amaranth Leaves,lunch,Veg,95,4,11,3,2,bowl,1 bowl,3,200,150,95,320
