Dish Name (Tamil Style),Protein (g),Carbs (g),Calories,Quantity per Serving
Nattu Kozhi Pepper Rasam,20g,2g,140 kcal,250 ml (1 Large Bowl)
Kozhi Thanni Kuzhambu,22g,2g,155 kcal,200 ml (1 Standard Bowl)
Kozhi Uppu Kari,24g,1g,165 kcal,120g (approx. 6-7 pieces)
Chicken Puttu (Shredded),26g,1g,160 kcal,100g (1 Cup)
Chicken Podimas (Minced),25g,2g,175 kcal,100g (1 Cup)
Chicken Milagu Varuval,27g,3g,185 kcal,120g (approx. 6-7 pieces)
Kozhi Puli Kuzhambu,23g,5g,170 kcal,150 ml (Medium Bowl)
Kozhi Milagu Kuzhambu,24g,4g,180 kcal,150 ml (Medium Bowl)
Nattu Kozhi Olla Saaru,18g,1g,130 kcal,250 ml (1 Large Bowl)
Inji-Poondu Kozhi Stew,22g,3g,150 kcal,200 ml (1 Standard Bowl)
Kozhi Elumbu Saaru,15g,1g,145 kcal,250 ml (1 Large Bowl)
Kozhi Paruppu Kootu,25g,10g,210 kcal,150g (1.5 Cups)
Jeeraga Kozhi Sauté,24g,2g,160 kcal,120g (6-7 pieces)
Manjal (Turmeric) Poach,26g,1g,150 kcal,100g (2 Fillets)
Kozhi Thengai Paal Curry,21g,6g,220 kcal,150 ml (Medium Bowl)
Kaadai (Quail) Pepper Fry,20g,1g,135 kcal,1 Whole Quail (Approx 120g)
Kaadai (Quail) Clear Soup,16g,2g,110 kcal,250 ml (1 Large Bowl)
Chicken Masiyal (Puree),24g,4g,170 kcal,150g (Semi-solid mash)
Chicken Thokku (Low Oil),26g,5g,190 kcal,100g (4-5 Large pieces)
Nattu Kozhi Suddu Sutta,28g,0g,155 kcal,100g (Dry Roast pieces)
Aatu Kaal Paya (Bone Broth),12g,2g,150 kcal,250 ml (1 Large Bowl)
Mutton Thanni Kuzhambu,22g,3g,230 kcal,200 ml (1 Standard Bowl)
Lean Mutton Uppu Kari,25g,1g,250 kcal,100g (Approx. 6 pieces)
Mutton Puttu (Shredded),24g,2g,235 kcal,100g (1 Cup)
Mutton Podimas (Minced),25g,2g,245 kcal,100g (1 Cup)
Mutton Milagu Varuval,26g,3g,260 kcal,100g (Approx. 6 pieces)
Mutton Puli Kuzhambu,23g,5g,240 kcal,150 ml (Medium Bowl)
Mutton Milagu Kuzhambu,24g,4g,250 kcal,150 ml (Medium Bowl)
Mutton Olla Saaru (Extract),18g,1g,180 kcal,250 ml (1 Large Bowl)
Inji-Poondu Mutton Stew,22g,3g,220 kcal,200 ml (1 Standard Bowl)
Aatu Eeral (Liver) Rasam,18g,4g,160 kcal,200 ml (1 Standard Bowl)
Liver Uppu Kari (Salt Sauté),22g,3g,175 kcal,80g (Portion Controlled)
Liver Milagu Varuval,22g,4g,190 kcal,80g (Portion Controlled)
Liver Podimas (Minced),21g,5g,185 kcal,100g (1 Cup)
Liver Thengai Paal Stew,20g,6g,210 kcal,150 ml (Medium Bowl)
Vekkadu (Kidney) Pepper Sauté,18g,2g,105 kcal,80g (Portion Controlled)
Kidney Thanni Kuzhambu,17g,3g,95 kcal,150 ml (Medium Bowl)
Mutton Bone Marrow Mash,14g,4g,180 kcal,120g (Semi-solid)
Mutton Masiyal (Puree),24g,5g,240 kcal,150g (Soft Diet)
Mutton Jeeraga Sauté,25g,2g,245 kcal,100g (Approx. 6 pieces)
Vanjaram (Seer) Meen Rasam,18g,2g,100 kcal,250 ml (1 Large Bowl)
Vanjaram Thanni Kuzhambu,20g,2g,115 kcal,200 ml (1 Standard Bowl)
Steamed Vanjaram (No Oil),21g,0g,120 kcal,100g (1 Large Fillet)
Sura Puttu (Shredded Shark),24g,1g,130 kcal,120g (1.5 Cups)
Sura Uppu Kari,23g,1g,135 kcal,100g (Cubes)
Meen Pollichathu (Leaf Steam),20g,2g,125 kcal,100g (1 Fillet)
Mathi (Sardine) Pepper Saaru,19g,1g,190 kcal,200 ml (Standard Bowl)
Mathi Puttu (Deboned),18g,1g,185 kcal,100g (1 Cup)
Nethili (Anchovy) Clear Soup,16g,2g,95 kcal,250 ml (1 Large Bowl)
Vavval (Pomfret) Milagu Gravy,18g,4g,155 kcal,150 ml (Medium Bowl)
Mackerel (Kanangeluthi) Sauté,20g,1g,180 kcal,100g (1 Medium Fish)
Eral (Prawn) Thanni Kuzhambu,24g,2g,95 kcal,150 ml (Medium Bowl)
Eral (Prawn) Milagu Varuval,24g,3g,110 kcal,100g (Approx. 8-10 Small)
Nandu (Crab) Pepper Saaru,18g,3g,85 kcal,250 ml (Large Bowl)
Nandu (Crab) Podimas,19g,2g,95 kcal,100g (Shelled Meat)
Rohu (Freshwater) Turmeric Poach,17g,1g,110 kcal,100g (1 Fillet)
Kanava (Squid) Puttu,16g,3g,95 kcal,100g (Finely Chopped)
Seafood Jeeraga Masiyal (Puree),20g,4g,130 kcal,150g (Soft Diet)
Fish Bone Marrow Broth,10g,2g,80 kcal,200 ml (Standard Bowl)
Ginger-Lemon Poached Fish,21g,1g,115 kcal,100g (1 Fillet)
