name,category,diet_type,calories,protein,carbs,fat,is_diabetes_safe,is_high_protein,serving_desc
Idli (2 pcs) with Sambar,Breakfast,Veg,180,8,38,1,True,False,2 Nos
Ragi Dosa (2 pcs) & Chutney,Breakfast,Veg,260,6,45,6,True,False,2 Nos
Ven Pongal (Millet Based),Breakfast,Veg,280,7,40,9,True,False,1 Cup
Kanjeevaram Idli (1 pc),Breakfast,Veg,200,6,30,6,False,False,1 No
Wheat Upma with Veggies,Breakfast,Veg,220,7,35,6,True,False,1 Cup
Puttu (Red Rice) & Kadala Curry,Breakfast,Veg,350,12,60,5,True,True,1 Cup
Appam (2) with Veg Stew,Breakfast,Veg,280,4,48,8,False,False,2 Nos
Adai (Lentil Dosa) (2 pcs),Breakfast,Veg,350,14,50,10,True,True,2 Nos
Poori (2) with Masala,Breakfast,Veg,450,6,55,22,False,False,2 Nos
Vadacurry & Set Dosa (2),Breakfast,Veg,400,10,55,15,False,False,1 Set
Boiled Egg Whites (3),Breakfast,Non-Veg,52,11,1,0,True,True,3 Nos
Mutton Paya with Idiyappam (3),Breakfast,Non-Veg,450,22,40,20,False,True,1 Set
Sambar Sadam (Brown Rice),Lunch,Veg,320,10,60,5,True,False,1 Bowl
Curd Rice with Pomegranate,Lunch,Veg,250,7,35,8,True,False,1 Bowl
Keerai Kootu (Spinach Lentil),Lunch,Veg,120,8,12,4,True,False,1 Cup
Vatha Kuzhambu & Rice,Lunch,Veg,380,5,75,8,False,False,1 Bowl
Rasam Sadam & Poriyal,Lunch,Veg,300,6,60,4,True,False,1 Bowl
Cabbage Poriyal,Lunch,Veg,90,2,10,5,True,False,1 Cup
Vendakkai (Okra) Mandi,Lunch,Veg,140,3,15,7,True,False,1 Cup
Meen Kuzhambu (Fish Curry) & Rice,Lunch,Non-Veg,420,28,50,12,True,True,1 Bowl
Chicken Chettinad (Lean) & Rice,Lunch,Non-Veg,480,35,45,18,True,True,1 Bowl
Karuvadu Kuzhambu & Rice,Lunch,Non-Veg,450,30,55,12,False,True,1 Bowl
Mutton Biryani (Small Portion),Lunch,Non-Veg,550,25,65,22,False,True,1.5 Cup
Egg Masala & Rice,Lunch,Non-Veg,380,16,50,14,True,False,1 Bowl
Sundal (Chickpea Salad),Snack,Veg,150,8,22,3,True,True,1 Cup
Pori (Puffed Rice) & Peanuts,Snack,Veg,120,4,20,3,True,False,1 Cup
Vada (Ulundu) - Air Fried,Snack,Veg,140,5,18,6,True,False,1 No
Panakam (Jaggery Water),Snack,Veg,60,0,15,0,False,False,1 Glass
Nannari Sarbath (Low Sugar),Snack,Veg,50,0,12,0,True,False,1 Glass
Ellu Urundai (Sesame Ball),Snack,Veg,180,5,15,12,True,False,2 Nos
Kadalai Mittai (Peanut Candy),Snack,Veg,160,6,18,8,False,False,2 Pcs
Boiled Peanuts,Snack,Veg,180,9,8,14,True,True,1 Cup
Ragi Kali (Mudde) & Greens,Dinner,Veg,300,8,60,3,True,False,1 Ball
Idiyappam (3) & Kurma,Dinner,Veg,280,5,55,5,True,False,3 Nos
Chapati (2) & Dal Tadka,Dinner,Veg,320,10,50,8,True,False,2 Nos
Kothu Parotta (Veg),Dinner,Veg,500,8,70,20,False,False,1 Plate
Kothu Parotta (Chicken),Dinner,Non-Veg,550,25,50,25,False,True,1 Plate
Dosai (Plain) & Chutney,Dinner,Veg,220,4,40,5,True,False,2 Nos
Uthappam (Onion) & Sambar,Dinner,Veg,260,5,45,7,True,False,1 No
Grilled Fish (Vanjaram),Dinner,Non-Veg,250,30,0,12,True,True,1 Slice
Pepper Chicken Dry,Dinner,Non-Veg,280,32,5,15,True,True,150g
Egg Dosa,Dinner,Non-Veg,240,10,25,12,True,True,1 No
