name,category,diet_type,calories,protein,carbs,fat,sodium,sugar,potassium,phosphorus,ingredients,serving_desc
Idli (3) & Sambar (Low Oil),Breakfast,Veg,180,8,38,1,200,0,105,40,rice urad dal tamarind toor dal,3 Nos
Ragi Idli (3) & Mint Chutney,Breakfast,Veg,280,8,45,2,150,0,180,120,ragi urad dal mint coconut,3 Nos
Kanchipuram Idli (2) & Chutney,Breakfast,Veg,300,7,40,12,350,0,120,50,rice urad dal ginger pepper cashews coconut,2 Nos
Mini Idli (14) in Sambar,Breakfast,Veg,320,10,60,4,400,0,250,90,rice urad dal tamarind toor dal ghee,1 Bowl
Oats Porridge with Almonds,Breakfast,Veg,220,6,35,5,10,0,140,150,oats milk almonds,1 Bowl
Varagu (Kodo Millet) Pongal,Breakfast,Veg,260,8,42,6,220,0,130,110,kodo millet moong dal pepper ginger,1 Cup
Ven Pongal & Gothsu,Breakfast,Veg,350,7,45,15,300,0,120,80,rice moong dal ghee pepper cashews eggplant,1 Cup
Thinai (Foxtail) Upma,Breakfast,Veg,240,7,40,5,200,0,160,140,foxtail millet onion chili ginger,1 Cup
Godhuma (Wheat) Rava Upma,Breakfast,Veg,230,7,40,4,250,0,140,110,wheat rava onion green chili,1 Cup
Semiya (Vermicelli) Upma & Veggies,Breakfast,Veg,280,6,45,8,250,0,110,60,vermicelli carrot beans onion,1 Cup
Rava Dosa (2) & Sagu,Breakfast,Veg,380,6,55,14,350,0,160,70,semolina rice flour potato carrot peas,2 Nos
Plain Dosa (2) & Sambar,Breakfast,Veg,320,6,55,6,300,0,110,50,rice urad dal oil tamarind toor dal,2 Nos
Kal Dosa (2) (No Oil) & Kurma,Breakfast,Veg,280,7,50,4,250,0,220,90,rice urad dal coconut poppy seeds veggies,2 Set
Onion Uthappam & Chutney,Breakfast,Veg,300,6,48,8,300,0,150,60,rice urad dal onion chili coconut,1 No
Adai Dosa (High Protein),Breakfast,Veg,350,14,45,10,220,0,280,160,rice chana dal toor dal urad dal chili,2 Nos
Pesarattu (Green Moong Dosa),Breakfast,Veg,320,14,40,10,200,0,350,180,green moong dal ginger chili rice,2 Nos
Appam (2) with Veg Stew,Breakfast,Veg,300,4,50,8,200,2,250,60,rice coconut milk carrot beans potato,2 Nos
Idiyappam (3) & Coconut Milk,Breakfast,Veg,350,4,60,10,50,15,280,70,rice flour coconut sugar cardamom,3 Nos
Idiyappam (3) & Veg Kurma,Breakfast,Veg,290,5,50,6,200,0,260,80,rice flour coconut veggies spices,3 Nos
Puttu (Red Rice) & Kadala Curry,Breakfast,Veg,350,12,60,5,200,0,380,190,red rice flour coconut black chana,1 Set
Egg White Omelette (3 Eggs),Breakfast,Non-Veg,150,18,2,5,200,0,160,20,egg white onion chili pepper,1 Plate
Scrambled Eggs (Podimas) & Toast,Breakfast,Non-Veg,280,14,25,12,250,0,180,140,egg onion pepper bread butter,1 Plate
Chicken Keema & 2 Wheat Parotta,Breakfast,Non-Veg,550,25,45,25,450,0,320,210,chicken maida onion spices oil,1 Plate
Mutton Paya & Idiyappam (3),Breakfast,Non-Veg,500,28,50,18,500,0,350,230,mutton trotters rice flour coconut,1 Set
Brown Rice & Spinach Kootu,Lunch,Veg,320,8,60,4,150,0,550,180,brown rice spinach moong dal coconut,1 Bowl
Hand-Pounded Rice & Fish Curry,Lunch,Non-Veg,420,25,60,8,300,0,400,220,red rice fish tamarind tomato,1 Bowl
Millet Rice (Samai) & Dal,Lunch,Veg,280,9,55,2,100,0,180,140,little millet toor dal turmeric,1 Bowl
Curd Rice (Pomegranate) & Pickle,Lunch,Veg,280,7,35,8,180,2,210,140,rice curd milk pomegranate mustard,1 Bowl
Sambar Rice with Mixed Veggies,Lunch,Veg,350,9,65,5,300,0,240,100,rice toor dal carrot beans drumstick,1 Bowl
Lemon Rice & Roasted Chana,Lunch,Veg,340,6,60,8,200,0,90,70,rice lemon turmeric peanuts chana dal,1 Bowl
Tomato Rice & Boiled Egg,Lunch,Non-Veg,380,12,55,10,300,0,280,110,rice tomato onion egg spices,1 Bowl
Coconut Rice & Potato Fry,Lunch,Veg,450,5,60,18,250,0,450,130,rice coconut potato oil spices,1 Bowl
Tamarind Rice (Puliyodarai),Lunch,Veg,400,6,70,12,500,0,150,80,rice tamarind peanuts sesame oil,1 Bowl
Vatha Kuzhambu & Rice,Lunch,Veg,400,5,70,10,400,2,180,70,rice tamarind sundakkai turkey berry,1 Bowl
Mor Kuzhambu (Buttermilk Curry) & Rice,Lunch,Veg,350,8,60,8,300,0,220,130,rice curd coconut ash gourd/okra,1 Bowl
Karakuzhambu & Rice (No Coconut),Lunch,Veg,380,6,70,6,400,0,190,80,rice tamarind garlic onion tomato,1 Bowl
Keerai Masiyal & Rice,Lunch,Veg,250,6,45,4,150,0,520,160,spinach rice garlic cumin,1 Bowl
Dal Tadka & 2 Chapati,Lunch,Veg,380,12,55,8,250,0,220,150,wheat toor dal onion tomato ghee,1 Bowl
