Diseases,Nutrients
Aneurysm,"Sodium,Saturated fat"
Acanthosis nigricans,Sugar
Acne,"Sugar,Carbs"
Acromegaly,"Sugar,Sodium,Saturated fat"
Acute cholecystitis,Fat
Acute kidney injury,"Sodium,potassium,phosphorous,fliuds"
Acute pancreatitis,Fat
Adenomyosis,"Saturated Fat,sugar(moderate)"
ADHD (attention deficit hyperactivity disorder),Sugar
Alcohol-related liver disease (ARLD),Sodium
Allergic rhinitis,Fat
Allergy,"Sodium,Poteins,Fat"
Alzheimer's disease,"Saturated Fat,sugar,Sodium"
Amyloidosis,Sodium
Anaemia,Calcium
Anal cancer,"Saturated fat,Sugar, Sodium"
Angina,"Fat,Sodium,Sugar(medium), carbs"
oedema,Sodium
Ankylosing spondylitis,"Sugar,Sodium,Fat"
Antiphospholipid syndrome,Vitamin K
Appendicitis,"Fat,Fiber,Sugar"
Arrhythmia,"Sodium,Fat,Sugar,Vitamin k"
Arthritis,"Sodium,Fat,Carbs,Sugar"
Asbestosis,"Sodium,Fat,Sugar"
Aspergillosis,Sugar
Atherosclerosis,"Sodium,Fat"
Atrial fibrillation,"Sodium,Sugar,Fat"
Baker's cyst,"Sodium,Saturated fat,Carbs"
Balanitis,Sugar
Bengin Brain tumour,"Sugar,Saturated fat"
Bengin Prostatic Hyperplasia,"Sodium,Calcium,Fat,Carbs,Sugar"
Bile duct cancer (cholangiocarcinoma),"Fat,Fiber,Sugar,Nirate"
Bladder cancer,Saturated fat
Bladder Pain Syndrome (BPS),"Acidic foods, Caffeine, Alcohol, Spicy foods, Artificial sweeteners"
Bladder Stones,"Oxalates, Sodium, Excessive animal protein"
Blepharitis,"Refined sugars, Saturated fats"
Blisters,N/A (Focus on hydration)
Sepsis,N/A (Requires immediate hospital intervention/IV fluids)
High Blood Pressure,"Sodium, Saturated fats, Alcohol"
Low Blood Pressure,Excessive alcohol (Moderate sodium is often encouraged)
Body Dysmorphic Disorder (BDD),N/A
Boils,"Refined sugars, High-glycemic carbs"
Bone Cancer,Raw/undercooked foods (if neutropenic/immunocompromised)
Bone Cyst,Sodium (to maintain bone density)
Borderline Personality Disorder,"Alcohol, Excessive Caffeine"
Botulism,N/A (Emergency medical treatment/Antitoxins required)
Bowel Cancer,"Processed meats, Red meats, Alcohol, Refined sugars"
Bowel Incontinence,"Caffeine, Alcohol, Dairy (if lactose intolerant), Spices"
Bowel Polyps,"Red meat, Processed meat, Saturated fats"
Bowen's Disease,N/A (Primarily skin-related; focus on general antioxidants)
Flat Head Syndrome,N/A
Brain Abscess,N/A (Requires immediate antibiotics/surgery)
Brain Aneurysm,"Sodium, Caffeine, Saturated fats"
Brain Death,N/A (Medical state where nutritional restriction is no longer applicable)
Brain Haemorrhage,"Sodium, Caffeine, Alcohol, Saturated fats"
Brain Tumours (Cancerous),"Refined sugars, Processed meats, Alcohol"
Brain Tumours (Benign),"Sodium, Saturated fats (to manage intracranial pressure)"
Breast Abscess,"Refined sugars, Saturated fats"
Breast Cancer (Men & Women),"Alcohol, Processed meats, Saturated fats, Red meat"
Breath-holding (Children),Caffeine (Stimulants)
Broken Ankle,"Sodium, Alcohol, Excessive Caffeine"
Broken Arm or Wrist,"Sodium, Alcohol, Excessive Caffeine"
Broken Collarbone,N/A
Cancer (General),"Sugar, Saturated fat, Alcohol "
Carbon monoxide poisoning,N/A
Cardiomyopathy,"Sodium, Fluids, Saturated fat, Alcohol"
Cardiovascular disease,"Sodium, Saturated fat, Sugar"
Carpal tunnel syndrome,"Sodium, Sugar"
Cat bites / Animal bites,N/A
Childhood cataracts,N/A
Cataracts in adults,Sugar
Catarrh (Excess mucus),"calcium, Sugar"
Cavernoma,"Sodium, Alcohol"
Cellulitis,Sugar
Cerebral palsy,N/A
Cervical cancer,"Sugar, Saturated fat"
Cervical spondylosis,"Sugar, Saturated fat"
Charcot-Marie-Tooth disease,N/A
Charles Bonnet syndrome,N/A
Chest infection,"Sugar, calcium"
Chiari malformation,N/A
Chickenpox,N/A
Chilblains,N/A
Childhood cataracts,"Sugar, Galactose"
"Chipped, broken or cracked tooth","Sugar, Carbohydrates"
Chlamydia,N/A
Acute cholecystitis,Fat
Cholera,"Sugar, Fat, Fiber"
Cholesteatoma,N/A
High cholesterol,"Saturated fat, Trans fat, Sugar"
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"Sugar, Caffeine"
Chronic kidney disease,"Sodium, Potassium, Phosphorus, Protein"
Chronic lymphocytic leukaemia,"Sugar, Saturated fat"
Chronic myeloid leukaemia,"Sugar, Saturated fat"
Chronic obstructive pulmonary disease (COPD),"Carbohydrates, Sodium"
Chronic pancreatitis,"Fat, Sugar"
Chronic traumatic encephalopathy (CTE),N/A
Cirrhosis,Sodium
Creutzfeldt-Jakob disease (CJD),N/A
Claustrophobia,N/A
Cleft lip and palate,N/A
Clostridioides difficile (C. diff) infection,"Fat, Sugar, Fiber"
Clubfoot,N/A
Cluster headaches,"Alcohol, Sodium"
Tailbone (coccyx) pain,N/A
Coeliac disease,Gluten
Cold sores,"Arginine (Protein), Sugar"
Colic,Proteins (specifically from cow's milk)
Bowel cancer (Colon cancer),"Saturated fat, Sugar, Alcohol"
Colour vision deficiency,N/A
Common cold,"Sugar, Alcohol"
Compartment syndrome,N/A
Complex regional pain syndrome,"Sugar, Saturated fat, Sodium, Alcohol"
Head injury and concussion,"Sugar, Saturated fat, Alcohol"
Congenital heart disease,"Sodium, Saturated fat, Trans fat"
Developmental dysplasia of the hip,N/A
Conjunctivitis,N/A
Constipation,"Saturated fat, Carbohydrates (refined), Sugar"
Contact dermatitis,N/A
Corns and calluses,N/A
Coronary heart disease,"Sodium, Saturated fat, Trans fat, Sugar"
Corticobasal degeneration,"Sugar, Saturated fat, Sodium"
Costochondritis,"Sugar, Saturated fat, Sodium"
COVID-19,"Sugar, Saturated fat, Sodium, Alcohol"
Cradle cap,N/A
Craniosynostosis,N/A
Creutzfeldt-Jakob disease,N/A
Crohn's disease,"Fiber (insoluble), Sugar, Saturated fat, Lactose"
Croup,N/A
Cushing's syndrome,"Sodium, Sugar, Saturated fat"
Cuts and grazes,N/A
Cyclical vomiting syndrome,"Caffeine, Saturated fat, Sugar"
Cyclospora,"Fat, Sugar, Fiber, Lactose"
Cyclothymia,"Sugar, Caffeine, Alcohol"
Cystic fibrosis,"N/A (Focus is on high-calorie, high-fat, and high-sodium intake)"
Cystitis,"Caffeine, Alcohol, Sugar"
Cytomegalovirus (CMV),N/A
Dandruff,N/A
Deafblindness,N/A
Deafness (Hearing loss),N/A
Dehydration,N/A 
Dementia,N/A
Dementia (Frontotemporal dementia),N/A
Dementia (Vascular dementia),"Sodium, Saturated fat,Sugar"
Dementia with Lewy bodies,"Saturated fat ,Cholesterol,Suagr,Sodium,Calcium"
Dengue,N/A 
Dental abscess,N/A
Depression,N/A
Detached retina (retinal detachment),N/A
Developmental co-ordination disorder (dyspraxia) in children,N/A
Developmental dysplasia of the hip,N/A
Diabetes,"Sugar, Carbohydrates, Sodium"
Diabetes insipidus,"Sodium,Protein,Fluid"
Diabetic ketoacidosis,"Sugar, Carbohydrates"
Diabetic retinopathy,"Sugar,Saturated fat"
DiGeorge syndrome (22q11 deletion),N/A
Diphtheria,N/A
Discoid eczema,N/A
Dislocated kneecap and shoulder,"Sugar,Saturated fat,Sodium"
Dissociative disorders,N/A
Diverticular disease and diverticulitis,Fiber
Down's syndrome,N/A
Dupuytren's contracture,N/A
DVT (deep vein thrombosis),"Vitamin k,Saturated fat,Sugar"
Dwarfism (Restricted growth),N/A
Dysarthria (difficulty speaking),N/A
Dysentery,"Calcium,Fiber"
Dyslexia,Sugar
Dystonia,"Caffeine,Sugar"
Ear infections,N/A
Eardrum (burst) – Perforated eardrum,"Calicum,Sodium,Carbs"
Early or delayed puberty,N/A
Early or premature menopause," Sugar,carbs,Saturated fat,Sodium"
Earwax build-up,N/A
Eating disorders,N/A 
Ebola virus disease,N/A
Ectopic pregnancy,N/A
Ectropion,"Sodium,Carbs,Saturated fat"
Edwards’ syndrome,N/A
Ehlers-Danlos syndromes (EDS),"Carbs,Glutten,Sugar,Histamin"
Ejaculation problems,Sugar
Encephalitis,"Sodium,sugar,Saturated fat"
Endocarditis,"Fuild,Sodium"
Endometrial cancer (Womb/uterus cancer),"Saturated fat, Sugar, Dairy"
Endometriosis,"Saturated fat, Sugar, Glutten"
Enlarged prostate,N/A
Epidermolysis bullosa,N/A
Epididymitis,N/A
Epiglottitis,N/A
Epilepsy,"Sugar,Carbs"
Erectile dysfunction (impotence),N/A
Erythema multiforme,N/A
Erythema nodosum,"Sugar,Saturated fat,"
Erythrocytosis,"Iron,Vitamin C"
Erythromelalgia,N/A
Excessive daytime sleepiness (hypersomnia),N/A
Excessive sweating (hyperhidrosis),N/A
Eye cancer,Saturated fat
Eye infection (Herpes simplex eye infections),N/A
Eye injuries,N/A
Fabricated or induced illness,N/A
Face blindness (Prosopagnosia),N/A
Falls,N/A
Febrile seizures,Sugar
Female genital mutilation (FGM),N/A
Fetal alcohol spectrum disorder,Alcohol
Fibroids,"Processed meat, Dairy,Caffeine"
